Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / India,Included / International,Price / International,Compare At Price / International,Included / Mexico,Price / Mexico,Compare At Price / Mexico,Status
the-3p-fulfilled-snowboard,The 3p Fulfilled Snowboard,,vqtesting,,"","Accessory, Sport, Winter",true,Title,Default Title,,,,,sku-hosted-1,0.0,shopify,deny,manual,2629.95,,true,true,,https://cdn.shopify.com/s/files/1/0724/9005/8008/products/Main_b9e0da7f-db89-4d41-83f0-7f417b02831d.jpg?v=1677349832,1,The Third-party fulfilled Snowboard,false,,,,,,,,,,,,,,,kg,,,true,true,,,true,,,active
the-3p-fulfilled-snowboard,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0724/9005/8008/files/Screenshotfrom2023-05-2015-19-43.png?v=1684579464,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
the-3p-fulfilled-snowboard,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0724/9005/8008/files/Screenshotfrom2023-05-2015-18-09.png?v=1684579464,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
the-3p-fulfilled-snowboard,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0724/9005/8008/files/Screenshotfrom2023-05-2015-16-20.png?v=1684579464,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
the-3p-fulfilled-snowboard,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0724/9005/8008/files/Screenshotfrom2023-05-1919-15-44.png?v=1684579464,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
the-archived-snowboard,The Archived Snowboard,,Snowboard Vendor,,"","Archived, Premium, Snow, Snowboard, Sport, Winter",false,Title,Default Title,,,,,"",0.0,shopify,deny,manual,629.95,,true,true,,https://cdn.shopify.com/s/files/1/0724/9005/8008/products/Main_52f8e304-92d9-4a36-82af-50df8fe31c69.jpg?v=1677349834,1,Archived Snowboard,false,,,,,,,,,,,,,,,kg,,,true,true,,,true,,,archived
the-collection-snowboard-hydrogen,The Collection Snowboard: Hydrogen,,Hydrogen Vendor,,"","Accessory, Sport, Winter",true,Title,Default Title,,,,,"",0.0,shopify,deny,manual,600.00,,true,true,,https://cdn.shopify.com/s/files/1/0724/9005/8008/products/Main.jpg?v=1677349832,1,The Collection Snowboard: Hydrogen,false,,,,,,,,,,,,,,,kg,,,true,true,,,true,,,active
the-collection-snowboard-liquid,The Collection Snowboard: Liquid,,Hydrogen Vendor,,"","Accessory, Sport, Winter",true,Title,Default Title,,,,,"",0.0,shopify,deny,manual,749.95,,true,true,,https://cdn.shopify.com/s/files/1/0724/9005/8008/products/Main_b13ad453-477c-4ed1-9b43-81f3345adfd6.jpg?v=1677349832,1,The Collection Snowboard: Liquid,false,,,,,,,,,,,,,,,kg,,,true,true,,,true,,,active
the-collection-snowboard-oxygen,The Collection Snowboard: Oxygen,,Hydrogen Vendor,,"","Accessory, Sport, Winter",true,Title,Default Title,,,,,"",0.0,shopify,deny,manual,1025.00,,true,true,,https://cdn.shopify.com/s/files/1/0724/9005/8008/products/Main_d624f226-0a89-4fe1-b333-0d1548b43c06.jpg?v=1677349832,1,The Collection Snowboard: Oxygen,false,,,,,,,,,,,,,,,kg,,,true,true,,,true,,,active
the-complete-snowboard,The Complete Snowboard,This <b>PREMIUM</b> <i>snowboard</i> is so <b>SUPER</b><i>DUPER</i> awesome!,Snowboard Vendor,,snowboard,"Premium, Snow, Snowboard, Sport, Winter",true,Color,Ice,,,,,"",4535.9237,shopify,deny,manual,699.95,,true,true,,https://cdn.shopify.com/s/files/1/0724/9005/8008/products/Main_589fc064-24a2-4236-9eaf-13b2bd35d21d.jpg?v=1677349832,1,Complete Snowboard,false,Complete Snowboard,snowboard winter sport snowboarding,,,,,,,,,,,,,lb,,,true,true,,,true,,,active
the-complete-snowboard,,,,,,,,,Dawn,,,,,"",4535.9237,shopify,deny,manual,699.95,,true,true,,,,,,,,,,,,,,,,,,,,lb,,,,,,,,,,
the-complete-snowboard,,,,,,,,,Powder,,,,,"",4535.9237,shopify,deny,manual,699.95,,true,true,,,,,,,,,,,,,,,,,,,,lb,,,,,,,,,,
the-complete-snowboard,,,,,,,,,Electric,,,,,"",4535.9237,shopify,deny,manual,699.95,,true,true,,,,,,,,,,,,,,,,,,,,lb,,,,,,,,,,
the-complete-snowboard,,,,,,,,,Sunset,,,,,"",4535.9237,shopify,deny,manual,699.95,,true,true,,,,,,,,,,,,,,,,,,,,lb,,,,,,,,,,
the-draft-snowboard,The Draft Snowboard,,Snowboard Vendor,,"","",false,Title,Default Title,,,,,"",0.0,shopify,deny,manual,2629.95,,true,true,,https://cdn.shopify.com/s/files/1/0724/9005/8008/products/Main_5127218a-8f6c-498f-b489-09242c0fab0a.jpg?v=1677349834,1,Draft Snowboard,false,,,,,,,,,,,,,,,kg,,,true,true,,,true,,,draft
the-hidden-snowboard,The Hidden Snowboard,,Snowboard Vendor,,"","Premium, Snow, Snowboard, Sport, Winter",false,Title,Default Title,,,,,"",0.0,shopify,deny,manual,749.95,,true,true,,https://cdn.shopify.com/s/files/1/0724/9005/8008/products/Main_c8ff0b5d-c712-429a-be00-b29bd55cbc9d.jpg?v=1677349834,1,Hidden Snowboard,false,Hidden Snowboard,hidden snowboard winter sport snowboarding,,,,,,,,,,,,,kg,,,true,true,,,true,,,active
the-minimal-snowboard,The Minimal Snowboard,,vqtesting,,"","",false,Title,Default Title,,,,,"",0.0,shopify,deny,manual,885.95,,true,true,,,,,false,,,,,,,,,,,,,,,kg,,,true,true,,,true,,,active
the-multi-location-snowboard,The Multi-location Snowboard,,vqtesting,,"","Premium, Snow, Snowboard, Sport, Winter",true,Title,Default Title,,,,,"",0.0,shopify,deny,manual,729.95,,true,true,,https://cdn.shopify.com/s/files/1/0724/9005/8008/products/Main_0a4e9096-021a-4c1e-8750-24b233166a12.jpg?v=1677349832,1,Multi-location Snowboard,false,,,,,,,,,,,,,,,kg,,,true,true,,,true,,,active
the-multi-managed-snowboard,The Multi-managed Snowboard,,Multi-managed Vendor,,"","Premium, Snow, Snowboard, Sport, Winter",true,Title,Default Title,,,,,sku-managed-1,0.0,shopify,deny,manual,629.95,,true,true,,https://cdn.shopify.com/s/files/1/0724/9005/8008/products/Main_9129b69a-0c7b-4f66-b6cf-c4222f18028a.jpg?v=1677349832,1,Multi-managed Snowboard,false,,,,,,,,,,,,,,,kg,,,true,true,,,true,,,active
unisex-garment-dyed-t-shirt,Unisex Garment-Dyed T-shirt,"Comfort Colors introduces its garment-dyed t-shirt; a fully customizable tee made 100% with ring-spun cotton. The soft-washed, garment-dyed fabric brings extra coziness to your wardrobe while the relaxed fit makes it an excellent daily choice. The double-needle stitching throughout the tee makes it highly durable while the lack of side-seams helps the shirt retain its tubular shape.<br><p>.: 100% ring-spun cotton<br>.: Medium fabric (6.1 oz/yd² (206.8 g/m²))<br>.: Relaxed fit<br>.: Sewn-in twill label</p><p>Image by [theromb / Shutterstock]</p>",Printify,,T-Shirt,"Cotton, Crew neck, DTG, Men's Clothing, Oversized, Seasonal Picks, T-shirts, Unisex, Women's Clothing",true,Color,White,Size,S,,,'21529562333455454632,129.999573242,,deny,printify,38.97,,true,true,,https://cdn.shopify.com/s/files/1/0724/9005/8008/products/7fa9287faa31424bcd55062be447e074.jpg?v=1685015391,1,,false,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0724/9005/8008/products/7fa9287faa31424bcd55062be447e074.jpg?v=1685015391,lb,,22.38,true,true,,,true,,,active
unisex-garment-dyed-t-shirt,,,,,,,,,White,,M,,,'25705945934732486010,154.992512829,,deny,printify,38.97,,true,true,,https://cdn.shopify.com/s/files/1/0724/9005/8008/products/cf27b8117d3ea9b891dc2c2c384df418.jpg?v=1685015391,2,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0724/9005/8008/products/7fa9287faa31424bcd55062be447e074.jpg?v=1685015391,lb,,22.38,,,,,,,,
unisex-garment-dyed-t-shirt,,,,,,,,,White,,L,,,'31881111771579569037,172.002226704,,deny,printify,38.97,,true,true,,https://cdn.shopify.com/s/files/1/0724/9005/8008/products/f4a8b891ed39b9c1867cd3238f1d2dae.jpg?v=1685015391,3,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0724/9005/8008/products/7fa9287faa31424bcd55062be447e074.jpg?v=1685015391,lb,,22.38,,,,,,,,
unisex-garment-dyed-t-shirt,,,,,,,,,White,,XL,,,'27802134635043623388,215.00278338,,deny,printify,38.97,,true,true,,https://cdn.shopify.com/s/files/1/0724/9005/8008/products/af4c5459488048821bdf092f0ecc56fe.jpg?v=1685015391,4,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0724/9005/8008/products/7fa9287faa31424bcd55062be447e074.jpg?v=1685015391,lb,,22.38,,,,,,,,
unisex-garment-dyed-t-shirt,,,,,,,,,White,,2XL,,,'30895658187551030216,226.977621948,,deny,printify,46.43,,true,true,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0724/9005/8008/products/7fa9287faa31424bcd55062be447e074.jpg?v=1685015391,lb,,26.86,,,,,,,,
unisex-jersey-short-sleeve-tee,Unisex Jersey Short Sleeve Tee,This classic unisex jersey short sleeve tee fits like a well-loved favorite. Soft cotton and quality print make users fall in love with it over and over again. These t-shirts have-ribbed knit collars to bolster shaping. The shoulders have taping for better fit over time. Dual side seams hold the garment's shape for longer. <br><p>.: 100% Airlume combed and ringspun cotton (fiber content may vary for different colors)<br>.: Light fabric (4.2 oz/yd² (142 g/m²))<br>.: Retail fit<br>.: Tear away label<br>.: Runs true to size</p><p>Image by [Marish / Shutterstock]</p>,Printify,,T-Shirt,"Cotton, Crew neck, DTG, Men's Clothing, Regular fit, T-shirts, Unisex, Women's Clothing",true,Color,White,Size,S,,,'22285654341309134765,125.010057172,,deny,printify,23.17,,true,true,,https://cdn.shopify.com/s/files/1/0724/9005/8008/products/2c659906a228df35748093c157fe5ba7.jpg?v=1684927316,1,,false,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0724/9005/8008/products/2c659906a228df35748093c157fe5ba7.jpg?v=1684927316,lb,,12.91,true,true,,,true,,,active
unisex-jersey-short-sleeve-tee,,,,,,,,,White,,M,,,'45025837370757585756,131.99537967,,deny,printify,23.17,,true,true,,https://cdn.shopify.com/s/files/1/0724/9005/8008/products/f48cd43f2078f02d61d12935aa515bcd.jpg?v=1684927316,2,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0724/9005/8008/products/2c659906a228df35748093c157fe5ba7.jpg?v=1684927316,lb,,12.91,,,,,,,,
unisex-jersey-short-sleeve-tee,,,,,,,,,White,,L,,,'28971664026971534768,146.011383903,,deny,printify,23.17,,true,true,,https://cdn.shopify.com/s/files/1/0724/9005/8008/products/b7765c9cb0ccd17267d0be77b8cff9d7.jpg?v=1684927316,3,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0724/9005/8008/products/2c659906a228df35748093c157fe5ba7.jpg?v=1684927316,lb,,12.91,,,,,,,,
unisex-jersey-short-sleeve-tee,,,,,,,,,White,,XL,,,'12715455985070803991,191.007747007,,deny,printify,23.17,,true,true,,https://cdn.shopify.com/s/files/1/0724/9005/8008/products/9c394f9456ad71b677eb1ec59ae949d5.jpg?v=1684927316,4,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0724/9005/8008/products/2c659906a228df35748093c157fe5ba7.jpg?v=1684927316,lb,,12.91,,,,,,,,
unisex-jersey-short-sleeve-tee,,,,,,,,,White,,2XL,,,'14663215931089864835,194.001456649,,deny,printify,27.20,,true,true,,https://cdn.shopify.com/s/files/1/0724/9005/8008/products/cfcb5e7c0e5361ef1f52fce58ebcd957.jpg?v=1684927316,5,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0724/9005/8008/products/2c659906a228df35748093c157fe5ba7.jpg?v=1684927316,lb,,15.32,,,,,,,,
unisex-jersey-short-sleeve-tee,,,,,,,,,White,,3XL,,,'20364971362429051903,203.980488789,,deny,printify,31.80,,true,true,,https://cdn.shopify.com/s/files/1/0724/9005/8008/products/07b0582385e8959d71ad4e695f323181.jpg?v=1684927327,6,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0724/9005/8008/products/2c659906a228df35748093c157fe5ba7.jpg?v=1684927316,lb,,18.08,,,,,,,,
unisex-jersey-short-sleeve-tee,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0724/9005/8008/products/a2fb0331cf5492fa6cc7c4fa0a140b4b.jpg?v=1684927327,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
unisex-jersey-short-sleeve-tee,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0724/9005/8008/products/f52c87e5ffe79ebd7b390822b7480319.jpg?v=1684927327,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
unisex-jersey-short-sleeve-tee,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0724/9005/8008/products/c11842b8e4322d6cf8dcac4168454920.jpg?v=1684927327,9,,,,,,,,,,,,,,,,,,,,,,,,,,,
unisex-jersey-short-sleeve-tee,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0724/9005/8008/products/30be80b3012105a2c72cabfb23970f88.jpg?v=1684927327,10,,,,,,,,,,,,,,,,,,,,,,,,,,,
unisex-jersey-short-sleeve-tee,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0724/9005/8008/products/c2529084d57d1678eda36cbb7ec0ae16.jpg?v=1684927334,11,,,,,,,,,,,,,,,,,,,,,,,,,,,
unisex-jersey-short-sleeve-tee,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0724/9005/8008/products/c295376fb94d928365272bb4e38d5fb4.jpg?v=1684927334,12,,,,,,,,,,,,,,,,,,,,,,,,,,,
vampire,vampire,<strong>Ai T-shirt</strong>,Printify,,T-shirt,"",true,Size,M,,,,,'80317373298405249977,0.0,,deny,manual,18.62,,true,true,,https://cdn.shopify.com/s/files/1/0724/9005/8008/products/vampire.jpg?v=1686574871,1,,false,,,,,,,,,,,,,,,kg,,,true,true,,,true,,,active
vampire,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0724/9005/8008/products/vampire_d28aec2d-fa78-47ef-a050-c9a1090fcb19.jpg?v=1686574871,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
